Date,Oil
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,49091.06
2008-03-01,83361.26
2008-04-01,74532.45
2008-05-01,125478.56
2008-06-01,143786.85
2008-07-01,166279.69
2008-08-01,165443.66
2008-09-01,192263.21
2008-10-01,237174.29
2008-11-01,250325.17
2008-12-01,276638.95
2009-01-01,269249.82
2009-02-01,235785.99
2009-03-01,183603.15
2009-04-01,237899.74
2009-05-01,257214.05
2009-06-01,219083.74
2009-07-01,170977.07
2009-08-01,224907.77
2009-09-01,180448.69
2009-10-01,223646.97
2009-11-01,234059.18
2009-12-01,247515.87
2010-01-01,231880.08
2010-02-01,165118.98
2010-03-01,168560.86
2010-04-01,159289.42
2010-05-01,164922.84
2010-06-01,144927.19
2010-07-01,133639.94
2010-08-01,68531.09
2010-09-01,106718.14
2010-10-01,130185.89
2010-11-01,107023.93
2010-12-01,109104.19
2011-01-01,106075
2011-02-01,73223.8
2011-03-01,94105.01
2011-04-01,89633.96
2011-05-01,88326.33
2011-06-01,53220.57
2011-07-01,32673.73
2011-08-01,86110.43
2011-09-01,81052.3
2011-10-01,34454.73
2011-11-01,56832.94
2011-12-01,52256.6
2012-01-01,45527.08
2012-02-01,64159.92
2012-03-01,61425.47
2012-04-01,60598.14
2012-05-01,57467.11
2012-06-01,52552.93
2012-07-01,54167.64
2012-08-01,21688.08
2012-09-01,2669.01
2012-10-01,53556.87
2012-11-01,53950.54
2012-12-01,46443.54
2013-01-01,47593.37
2013-02-01,41682.91
2013-03-01,25122.33
2013-04-01,35226.76
2013-05-01,43974.93
2013-06-01,34197.83
2013-07-01,38387.49
2013-08-01,62310.15
2013-09-01,50869.33
2013-10-01,60860.62
2013-11-01,61805.57
2013-12-01,55981.24
2014-01-01,61910.82
2014-02-01,56956.1
2014-03-01,62162.76
2014-04-01,76198.75
2014-05-01,83827.16
2014-06-01,79538.14
2014-07-01,74981.25
2014-08-01,49375.58
2014-09-01,62389.42
2014-10-01,64514.58
2014-11-01,52919.61
2014-12-01,18333.32
2015-01-01,81246.37
2015-02-01,66272.5
2015-03-01,81739.35
2015-04-01,90223.62
2015-05-01,87064.14
2015-06-01,83847.63
2015-07-01,73995.25
2015-08-01,56296.42
2015-09-01,63097.13
2015-10-01,57680.9
2015-11-01,60469.33
2015-12-01,59816.42
2016-01-01,51576.91
2016-02-01,47367.82
2016-03-01,42802.44
2016-04-01,32310.04
2016-05-01,39030.25
2016-06-01,35659.34
2016-07-01,31059.42
2016-08-01,24954.66
2016-09-01,8609.18
2016-10-01,
2016-11-01,
2016-12-01,
